phylum	class	order	family	genus	species
Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus pallidus
Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidoterrestris
Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus shizuokensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Allobacillus	Allobacillus sp. SKP2-8
Firmicutes	Bacilli	Bacillales	Bacillaceae	Allobacillus	Allobacillus sp. SKP4-8
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus	Ammoniphilus sp. YIM 78166
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus aneurinilyticus
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus soli
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus sp. XH2
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus terranovensis
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus thermoaerophilus
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus tyrosinisolvens
Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquibacillus	Aquibacillus sp. TKL69
Firmicutes	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAOS 7
Firmicutes	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAS-127
Firmicutes	Bacilli	Bacillales			Bacillales bacterium
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus abyssalis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus acanthi
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus acidiproducens
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus altitudinis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus andreraoultii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus azotoformans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus camelliae
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus canaveralius
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus caseinilyticus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cavernae
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cecembensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cihuensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus circulans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coagulans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus dakarensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus farraginis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus firmus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus foraminis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus ginsengihumi
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus glycinifermentans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halosaccharovorans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus haynesii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus horneckiae
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus humi
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus koreensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus korlensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus kwashiorkori
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus kyonggiensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus lentus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus litoralis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus loiseleuriae
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus luciferensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus manliponensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mannanilyticus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus massiliogabonensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus massilionigeriensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus massiliosenegalensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mediterraneensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus megaterium
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus nakamurai
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus ndiopicus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus nealsonii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus niameyensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus nitratireducens
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oceanisediminis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus okhensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus patagoniensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus praedii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudofirmus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus rubiinfantis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus siamensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sinesaloumensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus siralis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus smithii
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus solani
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus solimangrovi
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus solisilvae
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. (in: Bacteria)
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 123MFChir2
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 2_A_57_CT2
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 7586-K
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS040349
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AY18-3
